TIMESTAMP,Soil moisture at - 0.04 m (%),Soil moisture at - 0.1 m (%),Soil moisture at - 0.2 m (%),Soil moisture at - 0.4 m (%),Soil moisture at - 0.8 m (%),Soil moisture at - 1.2 m (%),Soil moisture at - 1.6 m (%),Soil temperature at - 0.04 m (K),Soil temperature at - 0.1 m (K),Soil temperature at - 0.2 m (K),Soil temperature at - 0.4 m (K),Soil temperature at - 0.8 m (K),Soil temperature at - 1.2 m (K),Soil temperature at - 1.6 m (K)
2018-05-31,17.9446776737,14.9496974255,14.5422130728,7.79156929066,7.79075040854,7.79042900896,7.79027071192,275.40154726,273.174511545,271.784198386,271.05842247,270.15919039,269.530362612,269.106722551
2018-06-01,17.8994413457,15.9417824402,14.5425804773,7.79177070975,7.79081752447,7.79045543429,7.79028626614,275.960329466,273.207951646,271.910825902,271.20077846,270.263131512,269.592391129,269.15280852
2018-06-02,17.8653645731,15.7266821759,14.5428009974,7.79191616178,7.79088234417,7.79048539154,7.79030383088,273.6682491,273.204479572,271.975917174,271.29245202,270.356842262,269.660126987,269.203573826
2018-06-03,17.5567780235,14.9175875053,14.5429177818,7.79201939191,7.79094010878,7.79051636265,7.79032291601,273.220830028,273.171528042,272.007631752,271.352787523,270.435345599,269.727431575,269.257256211
2018-06-04,17.7561454581,14.5650564586,14.5427055847,7.79202875964,7.79098572333,7.79054631827,7.79034261565,273.340995613,272.954280887,271.948634075,271.360138523,270.494365541,269.790046219,269.311119554
2018-06-05,17.7263308743,15.7025993659,14.5431165715,7.79216397406,7.79103446658,7.79057585994,7.7903626417,275.949518495,273.204032979,272.057762535,271.430915657,270.554458604,269.84953822,269.364331865
2018-06-06,17.6907050375,15.2445013856,14.5432871556,7.79226957458,7.79108377408,7.79060534697,7.79038290531,273.649647788,273.191658454,272.097322601,271.483151986,270.612468143,269.906805726,269.416658375
2018-06-07,15.7882501281,14.6080519096,14.5431962457,7.7923063189,7.79112687503,7.79063413153,7.79040323167,273.205562949,273.073707589,272.076612465,271.501753703,270.661129446,269.960778242,269.467678482
2018-06-08,15.3343325581,14.5487557936,14.5425731992,7.79217056467,7.79114849318,7.79065979434,7.79042304421,273.194895913,272.657094912,271.908551172,271.438896668,270.685112049,270.007368415,269.516052051
2018-06-09,17.6342163395,14.5489155938,14.5424724519,7.79212406984,7.79116261844,7.79068208976,7.79044190289,273.400502875,272.664513008,271.876160187,271.415611789,270.700583015,270.046727328,269.56090206
2018-06-10,17.5879016322,14.9309020463,14.5432719471,7.79233771635,7.791195256,7.7907041055,7.79046026578,275.120477737,273.172808891,272.093915196,271.516994789,270.734910072,270.084613526,269.603496003
2018-06-11,17.5656053475,15.8161532605,14.5436266214,7.79250701072,7.7912439314,7.79072830499,7.79047847552,275.52413622,273.206028368,272.167920326,271.590406342,270.784256626,270.125178803,269.644723741
2018-06-12,17.5626562147,17.318748467,14.5439280984,7.79264712035,7.79129575663,7.79075488143,7.79049715997,276.476517065,273.219661167,272.222960899,271.646414003,270.834636445,270.168479522,269.686017491
2018-06-13,17.591636346,18.7801184392,14.5449743733,7.792933428,7.79136074935,7.79078443362,7.79051675151,276.417738642,273.225219496,272.373163231,271.746776356,270.894681777,270.215160835,269.728258458
2018-06-14,17.6480834338,19.34967415,14.5503118765,7.79371089123,7.79146663428,7.79082057084,7.79053811114,276.271544849,273.698894291,272.720760777,271.955131878,270.985609271,270.270247539,269.773124771
2018-06-15,17.6777220733,19.0494839286,14.5620272204,7.79463698002,7.79160127423,7.7908645803,7.79056205177,275.434258467,274.082104378,272.930039457,272.130353867,271.090836658,270.33453858,269.822000697
2018-06-16,17.6936332465,18.8351495912,14.5522699851,7.79457789994,7.79170542346,7.79091088601,7.79058807126,274.22263346,273.585479333,272.780404224,272.129057039,271.165723138,270.399083532,269.873502632
2018-06-17,17.7015457466,18.6696230742,14.5789419654,7.79559040402,7.79183147238,7.79096028612,7.79061592931,275.842016013,274.267261355,273.019377997,272.265095696,271.248839677,270.464680865,269.926863324
2018-06-18,17.7055948052,18.5551361908,14.892229122,7.7969069395,7.79198110598,7.79101419853,7.79064575126,276.841213232,274.852411293,273.168894565,272.39147133,271.338515108,270.532707542,269.982046678
2018-06-19,17.706577215,18.4743776596,15.2045718656,7.79774414975,7.79212819519,7.79107110307,7.79067737346,276.414659005,274.782486291,273.190016754,272.456267712,271.418711329,270.600781649,270.038484821
2018-06-20,17.7071671214,18.4277505353,15.9396324167,7.79844324328,7.79226625727,7.79112908064,7.79071035074,277.78262184,275.34238404,273.207920888,272.502204058,271.48772784,270.666507191,270.095187635
2018-06-21,17.7083399363,18.4128807128,17.2697274651,7.79905053255,7.79239501441,7.79118683015,7.79074418025,279.461767901,276.134168988,273.219402033,272.537374575,271.547256042,270.728611225,270.151196814
2018-06-22,17.707432543,18.4153487582,18.5027604752,7.79958501762,7.79251539408,7.79124363435,7.79077843207,278.819394339,276.004365071,273.224401721,272.565351333,271.599128859,270.786670749,270.205801193
2018-06-23,17.7071737552,18.4457817837,19.507462908,7.80010482653,7.7926294062,7.79129922324,7.79081279649,278.169590837,275.71765346,273.227036127,272.589910577,271.645198883,270.840791436,270.258575114
2018-06-24,17.7104239945,18.5391041075,20.491602091,7.80068257655,7.79273997869,7.79135367783,7.79084709208,278.372435575,275.754791551,273.228955121,272.614173414,271.687269316,270.891400859,270.309345405
2018-06-25,17.7177891002,18.6826046552,21.1468530827,7.80129630562,7.792848598,7.79140719166,7.79088123257,277.434129359,275.373162358,273.229994463,272.637349314,271.726302927,270.938969606,270.358103492
2018-06-26,17.73536705,18.825725609,21.4230747231,7.96267124666,7.79316751138,7.79147565933,7.7909176064,280.79029321,277.034415228,274.038214607,272.955584891,271.827357388,270.996918008,270.408198869
2018-06-27,17.7570151436,18.9175565107,21.2880415884,8.7533776352,7.79349879307,7.79155619534,7.79095735801,282.789752299,278.420311997,274.719373036,273.023348399,271.918143891,271.061220037,270.460881211
2018-06-28,17.7777999835,18.9769763762,21.1942387443,9.70633800051,7.79378609664,7.79164116191,7.79099992716,282.753840363,278.713640448,274.903372172,273.046461577,271.987463527,271.124928263,270.515045052
2018-06-29,17.7968018866,19.0157160842,21.1250881958,10.5425291411,7.79403462508,7.79172576081,7.79104418173,281.231911861,278.079623471,274.766668069,273.060089585,272.041457588,271.18452535,270.569033126
2018-06-30,17.8160112896,19.0417538506,21.0717893303,11.1977434757,7.7942604195,7.79180823777,7.79108917076,279.860838616,277.31966258,274.549136971,273.07139284,272.086281097,271.239267326,270.621642359
2018-07-01,17.8343758317,19.059520969,21.029240323,11.6204311057,7.79447367162,7.79188835291,7.79113429589,278.149273004,276.369104117,274.262846993,273.081398005,272.125323219,271.289531684,270.672248663
2018-07-02,17.8533240939,19.0718764651,20.9941860998,11.9512438757,7.79468078486,7.79196643007,7.7911792506,277.899861951,276.059475197,274.144834069,273.090852547,272.16050021,271.335977602,270.720641319
2018-07-03,17.8711216723,19.0802924993,20.9647121073,12.2128251987,7.79488490313,7.7920428874,7.79122390449,277.433056279,275.777707101,274.053452807,273.099713928,272.19279851,271.379213977,270.766830176
2018-07-04,17.8904108473,19.0860612889,20.9389791311,12.4855731605,7.79534766698,7.79213112124,7.79126997864,279.4987284,276.750847399,274.453764772,273.285403392,272.256751053,271.42655767,270.812638993
2018-07-05,17.9067897757,19.0896718465,20.9161824945,12.7497328461,7.79590239538,7.79223228767,7.79131876929,279.322320346,276.956925587,274.730486341,273.467668364,272.322605014,271.477746649,270.85922183
2018-07-06,17.9226773222,19.0918420076,20.8958583779,13.1401261548,7.79637975086,7.79233817257,7.79136992889,279.615783163,277.173981406,274.876555342,273.520352344,272.372163468,271.528090193,270.906066123
2018-07-07,17.9354566291,19.0926930277,20.8777774841,13.4540641843,7.79677376856,7.79244254142,7.79142234526,278.018342799,276.45849666,274.65434903,273.491309687,272.40896267,271.574764139,270.952068183
2018-07-08,17.9487298012,19.093095334,20.8614454609,13.7340301107,7.79711025882,7.79254277992,7.7914749836,278.055927929,276.319840218,274.57017605,273.477511341,272.437797808,271.6170719,270.99636052
2018-07-09,17.9626019453,19.0931678999,20.8464332169,14.1259902911,7.79741108784,7.79263843328,7.79152716746,279.532936521,277.002989998,274.801067371,273.520351026,272.46173857,271.655329272,271.038501308
2018-07-10,17.9729217094,19.092474016,20.8328006702,14.4827866347,7.79768688744,7.79272981015,7.79157853345,278.319385397,276.569371909,274.68916399,273.506869174,272.482304588,271.690092829,271.078363425
2018-07-11,17.9849807232,19.0918944296,20.8201773784,14.9241476301,7.79794760892,7.79281752986,7.79162893528,279.638058605,277.116213314,274.867531448,273.539845306,272.500614966,271.721941416,271.116006312
