	Soil moisture at - 0.04 m (%)	Soil moisture at - 0.1 m (%)	Soil moisture at - 0.2 m (%)	Soil moisture at - 0.4 m (%)	Soil moisture at - 0.8 m (%)	Soil moisture at - 1.2 m (%)	Soil moisture at - 1.6 m (%)	Soil temperature at - 0.00 m (°C)	Soil temperature at - 0.04 m (°C)	Soil temperature at - 0.1 m (°C)	Soil temperature at - 0.2 m (°C)	Soil temperature at - 0.4 m (°C)	Soil temperature at - 0.8 m (°C)	Soil temperature at - 1.2 m (°C)	Soil temperature at - 1.6 m (°C)
24	7.295246527777778	7.653755208333333	8.113960069444444	8.439947916666668	4.960034722222222	3.348267361111111	4.705190972222223	-15.124923611111111	-14.905243055555555	-13.973784722222222	-13.602986111111111	-12.69828125	-11.279583333333333	-8.866614583333334	-7.489050347222222
25	7.346291666666667	7.701946180555556	8.152581597222223	8.453211805555556	4.960319444444444	3.339737847222222	4.691737847222222	-14.910220486111111	-14.405491319444446	-13.55203125	-13.28953125	-12.553194444444443	-11.252135416666667	-8.929375	-7.572607638888889
26	7.388246527777778	7.740270833333333	8.19089236111111	8.48015625	4.967609375	3.3310572916666668	4.680460069444445	-14.193321180555555	-14.014668402777778	-13.176482638888888	-12.959184027777777	-12.3228125	-11.165052083333332	-8.970121527777778	-7.6419652777777785
27	7.395612847222223	7.765217013888889	8.219447916666667	8.503246527777778	4.979350694444444	3.3281996527777777	4.671951388888889	-15.943487847222222	-14.315381944444445	-13.289895833333333	-12.908020833333333	-12.154253472222223	-11.046788194444444	-8.98267361111111	-7.6949756944444445
28	7.347706597222222	7.714803819444445	8.18378125	8.499184027777778	4.984019097222222	3.3262274305555555	4.668352430555555	-16.881173611111112	-14.746822916666666	-13.668541666666666	-13.181145833333334	-12.22670138888889	-11.002725694444443	-8.97826388888889	-7.72846875
29	7.303939236111111	7.670782986111111	8.149977430555555	8.478715277777777	4.978517361111111	3.327572916666667	4.662927083333333	-18.435015625	-15.389010416666666	-14.151163194444445	-13.526631944444444	-12.40125	-11.058229166666667	-8.987090277777778	-7.756402777777778
30	7.227019097222222	7.589543402777777	8.07134201388889	8.431371527777777	4.963942708333334	3.322994791666667	4.657986111111111	-18.254241319444443	-16.277673611111112	-15.005746527777777	-14.256944444444445	-12.82404513888889	-11.217708333333334	-9.022652777777779	-7.792156250000001
31	7.252006944444444	7.599276041666668	8.063526041666666	8.397291666666666	4.9412239583333335	3.318359375	4.652175347222222	-15.821477430555555	-15.619479166666666	-14.623038194444444	-14.185868055555556	-13.053194444444445	-11.447239583333333	-9.102277777777779	-7.8456979166666665
32	7.3074739583333335	7.6565972222222225	8.106748263888889	8.409513888888888	4.929930555555556	3.307423611111111	4.642532986111111	-15.305661458333333	-14.938038194444445	-13.954409722222223	-13.666631944444443	-12.853125	-11.509583333333333	-9.205359375	-7.922819444444444
33	7.299642361111111	7.654574652777777	8.115369791666666	8.420399305555556	4.932855902777778	3.3012239583333334	4.6335468749999995	-15.858782986111112	-15.079008680555555	-14.029687500000001	-13.630086805555555	-12.719670138888889	-11.451336805555556	-9.273802083333333	-7.999428819444445
34	7.309751736111112	7.655598958333334	8.113434027777778	8.418836805555555	4.9339375	3.2952916666666665	4.624121527777778	-15.536072916666667	-14.933026041666666	-13.949003472222222	-13.5878125	-12.709166666666667	-11.432604166666668	-9.31111111111111	-8.060305555555557
35	7.369633680555555	7.715262152777777	8.156576388888888	8.432552083333334	4.934548611111111	3.2909427083333336	4.618128472222223	-13.671692708333333	-14.337710069444444	-13.489065972222221	-13.266598958333333	-12.579809027777777	-11.40828125	-9.342119791666667	-8.110015624999999
